DISTRICT,ANNUAL
ALIGARH,771
BAREILLY,996.6
BIJNOR,1083.1
BADAUN,884.8
BULANDSHAHAR,779
ETAH,714.4
ETAWAH,829.6
HAMIRPUR,881.8
JALAUN,871.5
JHANSI,931.5
LALITPUR,1034.6
MAINPURI,748.4
MATHURA,655.9
MEERUT,918
MORADABAD,992.9
MUZAFFARNAGAR,869.1
PILIBHIT,1155.4
RAMPUR,1057.6
SAHARANPUR,963.9
SHAHJAHANPUR,1010.8
GHAZIABAD,766.3
FIROZABAD,765.5
MAHOBA,853.1
MAHAMAYA NAGA,710.8
AURAIYA,811.9
BAGPAT,646.1
JYOTIBA PHULE,917.4
GAUTAM BUDDHA,669.3
KANSHIRAM NAG,818.4
ALMORA,1157.3
CHAMOLI,1267
DEHRADUN,2123.9
GARHWAL PAURI,1464
NAINITAL,1743.7
PITHORAGARH,2098
GARHWAL TEHRI,1385
UTTARKASHI,1625.7
HARIDWAR,1143.9
CHAMPAWAT,1623.9
RUDRAPRAYAG,2150.9
UDHAM SINGH N,1313.9
BAGESHWAR,1157.3
AMBALA,1104.7
GURGAON,544
HISAR,401.4
JIND,509.1
KARNAL,714.4
MAHENDRAGARH,476.2
ROHTAK,618
BHIWANI,419.5
FARIDABAD,697.6
KURUKSHETRA,691.4
SIRSA,313.5
SONEPAT(RTK),644.2
YAMUNANAGAR,1107
KAITHAL,466.5
PANIPAT,624.1
REWARI,492.2
FATEHABAD,364.6
JHAJJAR,489
PANCHKULA,1148.2
MEWAT,572
PALWAL(FRD),508.1
CHANDIGARH,1070.6
NEW DELHI,747.1
CENTRAL DELHI,747.1
EAST DELHI,747.1
NORTH DELHI,747.1
NE DELHI,747.1
SW DELHI,747.1
NW DELHI,747.1
SOUTH DELHI,747.1
WEST DELHI,747.1
AMRITSAR,721.7
BATHINDA,407.9
FEROZEPUR,455.6
GURDASPUR,1112.5
HOSHIARPUR,933.1
JALANDHAR,719.1
KAPURTHALA,568
LUDHIANA,685.6
PATIALA,752
RUPNAGAR,956.5
SANGRUR,557.4
FARIDKOT,415.6
MOGA,460.6
NAWANSHAHR,1005.6
FATEHGARH SAH,683.1
MUKTSAR,399.5
MANSA,419.8
BARNALA,449.4
SAS NAGAR(MGA),818.7
TARN TARAN,449.2
BILASPUR,1197.2
CHAMBA,1997.1
KANGRA,2019.8
KINNAUR,836.4
KULLU,1088.1
LAHUL & SPITI,1248.8
MANDI,1506.9
HAMIRPUR,1428.2
SHIMLA,1041.4
SIRMAUR,1618.3
SOLAN,1366.2
UNA,1110.7
ANANTNAG,969.6
BARAMULLA,1132
DODA,1335.5
JAMMU,1211.3
KATHUA,1268.2
LADAKH (LEH),94.6
UDHAMPUR,1973.9
BADGAM,671.7
KUPWARA,1132.7
PULWAMA,504.6
SRINAGAR,673.6
KARGIL,223.3
POONCH,1474.1
RAJOURI,957.2
BANDIPORE,700.4
GANDERWAL,673.6
KULGAM/(ANT),878.9
SHOPAN,818.7
SAMBA,1211.3
KISTWAR,1335.5
REASI,1796.5
RAMBAN(DDA),1328.4
BARMER,268.6
BIKANER,274
CHURU,369.6
SRI GANGANAGA,252.9
JAISALMER,181.2
JALORE,427.1
JODHPUR,308.1
NAGAUR,394.1
PALI,485.7
HANUMANGARH,301.6
AJMER,462.2
ALWAR,630.9
BANSWARA,883
BHARATPUR,621.1
BHILWARA,630.2
BUNDI,705.6
CHITTORGARH,765.3
DUNGARPUR,677.8
JAIPUR,577.2
JHALAWAR,920.2
JHUNJHUNU,481
KOTA,807.9
SAWAI MADHOPUR,721
SIKAR,463.8
SIROHI,913.4
TONK,613.9
UDAIPUR,639.7
DHOLPUR,722.1
BARAN,852.7
DAUSA,674.8
RAJSAMAND,554.5
KARAULI,696.2
PRATAPGARH(CHT,915.3
BETUL,1028.8
VIDISHA,1084.8
BHIND,763.4
DATIA,860.2
DEWAS,1031.4
DHAR,886.1
GUNA,1028.3
GWALIOR,885.9
HOSHANGABAD,1392.2
INDORE,917.3
JHABUA,812.8
MANDSAUR,850.1
MORENA,777
KHANDWA,940
KHARGONE,826.9
RAISEN,1200.5
RAJGARH,966.7
RATLAM,947.8
SEHORE,1152.6
SHAJAPUR,949.4
SHIVPURI,859.4
UJJAIN,905.7
BHOPAL,1087.7
HARDA,1128.3
NEEMUCH,813.8
SHEOPUR,791.9
BARWANI,701.2
ASHOKNAGAR(GNA,926.7
BURHANPUR,889.1
ALIRAJPUR(JBA),863.6
BALAGHAT,1481.6
CHHATARPUR,1081.4
CHHINDWARA,1021.6
JABALPUR,1192.4
MANDLA,1397
NARSINGHPUR,1146.4
PANNA,1171.7
REWA,1068.5
SAGAR,1192.2
SATNA,1056.1
SEONI,1191.8
SHAHDOL,1109.9
SIDHI,1127
TIKAMGARH,938.5
KATNI,1141.1
DINDORI,1336.7
UMARIA,1235.7
DAMOH,1180.6
ANUPPUR(SHAHD,1354.5
SINGRAULI,921.2
AHMEDABAD,639.9
BANASKANTHA,598.4
BARODA,992.2
BHARUCH,824.9
VALSAD,2021.7
DANGS,2063
KHEDA,850.1
MEHSANA,692.7
PANCHMAHALS,959.3
SABARKANTHA,816.3
SURAT,1304.7
GANDHINAGAR,752.7
NARMADA(BRC),1143.7
NAVSARI(VSD),1866.4
ANAND(KHR),834.6
PATAN(MHSN),539.6
DAHOD(PNML),903.6
TAPI(SRT),1536
AMRELI,567.3
BHAVNAGAR,578.3
JAMNAGAR,498
JUNAGADH,830.4
KUTCH,388.8
RAJKOT,579.1
SURENDRANAGAR,534.6
PORBANDAR,716.6
DNH,2374.1
DAMAN,2374.1
DIU,697.3
MUMBAI CITY,2257.5
RAIGAD,3278.9
RATNAGIRI,3470.6
THANE,2542.1
SINDHUDURG,3269.2
MUMBAI SUB,2257.5
NORTH GOA,3471.4
SOUTH GOA,3085.6
AHMEDNAGAR,573.2
DHULE,607.2
JALGAON,730.9
KOLHAPUR,1992.8
NASHIK,1029.6
PUNE,1015.7
SANGLI,730.6
SATARA,912.5
SOLAPUR,646.5
NANDURBAR,890.7
AURANGABAD,716.2
BEED,708.4
NANDED,961.1
OSMANABAD,779.3
PARBHANI,897
LATUR,910
JALNA,729.7
HINGOLI,979.4
AKOLA,815.4
AMRAVATI,897.4
BHANDARA,1292.7
BULDHANA,746.9
CHANDRAPUR,1272
NAGPUR,1068.4
YAVATMAL,982.8
WARDHA,1027
GADCHIROLI,1449.8
WASHIM,940.9
GONDIA,1370.7
BASTAR,1362.6
BILASPUR,1229
DURG,1122.9
RAIGARH,1269.9
RAIPUR,1164.6
SURGUJA,1331.9
RAJNANDGAON,1209.3
DANTEWADA,1327.9
KANKER (NORH,1395.2
JANJGIR-CHAMP,1315.8
KORBA,1385.5
JASHPUR,1544.4
DHAMTARI,1168.6
MAHASAMUND,1141.3
KORIYA,1223.4
KOWARDHA (KAB,1029.3
NARAYANPUR,1404.5
BIJAPUR,1528.2
EAST GODAVARI,1106
WEST GODAVARI,1160.4
GUNTUR,871.5
KRISHNA,1027.1
NELLORE,1091.6
PRAKASAM,805.9
SRIKAKULAM,1165.2
VISAKHAPATNAM,1120.7
VIZIANAGARAM,1140.4
ADILABAD,1120
HYDERABAD,851.3
KARIMNAGAR,979.8
KHAMMAM,1094.9
MAHABUBNAGAR,731.1
MEDAK,922.3
NALGONDA,760.5
NIZAMABAD,1091.9
WARANGAL,986.9
RANGAREDDY,841.8
